Segment,Fold,Calibration,Class,ECE,MCE,ACE,MCS,Directionality
05_NP,2,Orig,Non-human Mammal,0.093,0.3935,0.0902,0.0901,OVERCONF
05_NP,2,Cal,Human,0.0024,0.4577,0.0017,-0.0013,BALANCED
05_NP,2,Cal,Avian,0.0014,0.1443,0.0015,0.0014,BALANCED
05_NP,2,Cal,Non-human Mammal,0.0015,0.4732,0.0005,-0.0001,BALANCED
05_NP,3,Orig,Human,0.1342,0.453,0.1281,-0.1201,UNDERCONF
05_NP,3,Orig,Avian,0.0325,0.3526,0.0309,0.0144,BALANCED
05_NP,3,Orig,Non-human Mammal,0.1137,0.3275,0.1057,0.1057,OVERCONF
05_NP,3,Cal,Human,0.0019,0.2229,0.0013,-0.0013,BALANCED
05_NP,3,Cal,Avian,0.0014,0.6641,0.0016,0.0014,BALANCED
05_NP,3,Cal,Non-human Mammal,0.001,0.2799,0.0008,-0.0001,BALANCED
05_NP,4,Orig,Human,0.1447,0.6272,0.1437,-0.1387,UNDERCONF
05_NP,4,Orig,Avian,0.0169,0.6278,0.0158,0.0067,BALANCED
05_NP,4,Orig,Non-human Mammal,0.1334,0.5341,0.132,0.1319,OVERCONF
05_NP,4,Cal,Human,0.0025,0.4253,0.0014,-0.0013,BALANCED
05_NP,4,Cal,Avian,0.0013,0.4873,0.0012,0.001,BALANCED
05_NP,4,Cal,Non-human Mammal,0.0013,0.4589,0.0009,0.0003,BALANCED
05_NP,5,Orig,Human,0.1216,0.5954,0.1197,-0.1159,UNDERCONF
05_NP,5,Orig,Avian,0.0272,0.3781,0.026,0.0142,BALANCED
05_NP,5,Orig,Non-human Mammal,0.1032,0.4208,0.1017,0.1017,OVERCONF
05_NP,5,Cal,Human,0.0025,0.5283,0.0013,-0.0013,BALANCED
05_NP,5,Cal,Avian,0.0011,0.5225,0.001,0.0008,BALANCED
05_NP,5,Cal,Non-human Mammal,0.0016,0.5392,0.0014,0.0005,BALANCED
05_NP,6,Orig,Human,0.1327,0.452,0.1276,-0.1246,UNDERCONF
05_NP,6,Orig,Avian,0.0252,0.4132,0.0247,0.0172,BALANCED
05_NP,6,Orig,Non-human Mammal,0.1141,0.3767,0.1074,0.1074,OVERCONF
05_NP,6,Cal,Human,0.0025,0.2227,0.0019,-0.0015,BALANCED
05_NP,6,Cal,Avian,0.0021,0.7107,0.0022,0.002,BALANCED
05_NP,6,Cal,Non-human Mammal,0.001,0.1901,0.0023,-0.0005,BALANCED
05_NP,7,Orig,Human,0.069,0.4729,0.0658,-0.0598,UNDERCONF
05_NP,7,Orig,Avian,0.0135,0.5565,0.0116,0.0008,BALANCED
05_NP,7,Orig,Non-human Mammal,0.0627,0.4366,0.059,0.059,OVERCONF
05_NP,7,Cal,Human,0.002,0.4309,0.0016,-0.0016,BALANCED
05_NP,7,Cal,Avian,0.0019,0.5462,0.0016,0.0015,BALANCED
05_NP,7,Cal,Non-human Mammal,0.0003,0.4286,0.0005,0.0,BALANCED
05_NP,8,Orig,Human,0.1166,0.5823,0.1142,-0.1089,UNDERCONF
05_NP,8,Orig,Avian,0.0255,0.4437,0.0241,0.0131,BALANCED
05_NP,8,Orig,Non-human Mammal,0.0992,0.4992,0.0958,0.0958,OVERCONF
05_NP,8,Cal,Human,0.0022,0.2588,0.0014,-0.0014,BALANCED
05_NP,8,Cal,Avian,0.0014,0.334,0.0013,0.0011,BALANCED
05_NP,8,Cal,Non-human Mammal,0.0014,0.4655,0.0013,0.0003,BALANCED
05_NP,9,Orig,Human,0.1068,0.5907,0.1061,-0.103,UNDERCONF
05_NP,9,Orig,Avian,0.0157,0.3259,0.0149,0.0101,BALANCED
05_NP,9,Orig,Non-human Mammal,0.0955,0.395,0.093,0.0929,OVERCONF
05_NP,9,Cal,Human,0.002,0.4195,0.0015,-0.0014,BALANCED
05_NP,9,Cal,Avian,0.0013,0.432,0.0015,0.0013,BALANCED
05_NP,9,Cal,Non-human Mammal,0.001,0.432,0.0009,0.0001,BALANCED
06_NA,0,Orig,Human,0.1396,0.4671,0.1378,-0.134,UNDERCONF
06_NA,0,Orig,Avian,0.024,0.2857,0.0207,0.0108,BALANCED
06_NA,0,Orig,Non-human Mammal,0.1281,0.3039,0.1232,0.1232,OVERCONF
06_NA,0,Cal,Human,0.001,0.2542,0.0009,-0.0008,BALANCED
06_NA,0,Cal,Avian,0.0008,0.5602,0.0009,0.0008,BALANCED
06_NA,0,Cal,Non-human Mammal,0.0004,0.156,0.0008,0.0001,BALANCED
06_NA,1,Orig,Human,0.1648,0.5829,0.1626,-0.1607,UNDERCONF
06_NA,1,Orig,Avian,0.0262,0.32,0.0208,0.0138,BALANCED
06_NA,1,Orig,Non-human Mammal,0.1513,0.3755,0.1469,0.1469,OVERCONF
06_NA,1,Cal,Human,0.001,0.2808,0.001,-0.0009,BALANCED
06_NA,1,Cal,Avian,0.001,0.3518,0.0012,0.001,BALANCED
06_NA,1,Cal,Non-human Mammal,0.0006,0.3056,0.0007,-0.0001,BALANCED
06_NA,2,Orig,Human,0.1236,0.5829,0.1229,-0.1203,UNDERCONF
06_NA,2,Orig,Avian,0.0189,0.3733,0.0131,0.0086,BALANCED
06_NA,2,Orig,Non-human Mammal,0.1143,0.4647,0.1117,0.1117,OVERCONF
06_NA,2,Cal,Human,0.0014,0.3616,0.001,-0.001,BALANCED
06_NA,2,Cal,Avian,0.0009,0.6492,0.001,0.0009,BALANCED
06_NA,2,Cal,Non-human Mammal,0.0005,0.3141,0.0008,0.0002,BALANCED
06_NA,3,Orig,Human,0.1988,0.5159,0.1946,-0.1884,UNDERCONF
06_NA,3,Orig,Avian,0.033,0.3455,0.0278,0.0115,BALANCED
